d_4_bw_4_r_750.npz, elapsed time 11.20 sec
d_4_bw_4_r_780.npz, elapsed time 11.21 sec
d_4_bw_4_r_811.npz, elapsed time 11.23 sec
d_4_bw_4_r_843.npz, elapsed time 11.24 sec
d_4_bw_4_r_874.npz, elapsed time 11.23 sec
d_4_bw_4_r_905.npz, elapsed time 11.23 sec
d_4_bw_4_r_937.npz, elapsed time 11.24 sec
d_4_bw_4_r_967.npz, elapsed time 11.23 sec
d_4_bw_4_r_998.npz, elapsed time 11.25 sec
d_4_bw_4_r_1030.npz, elapsed time 11.23 sec
d_4_bw_4_r_1061.npz, elapsed time 11.25 sec
d_4_bw_4_r_1091.npz, elapsed time 11.20 sec
d_4_bw_4_r_1122.npz, elapsed time 11.29 sec
d_4_bw_4_r_1152.npz, elapsed time 7.23 sec
d_4_bw_4_r_1175.npz, elapsed time 6.72 sec
d_4_bw_4_r_1192.npz, elapsed time 6.57 sec
d_4_bw_4_r_1211.npz, elapsed time 6.64 sec
d_4_bw_4_r_1232.npz, elapsed time 6.49 sec
d_4_bw_4_r_1247.npz, elapsed time 6.88 sec
d_4_bw_4_r_1268.npz, elapsed time 6.40 sec
d_4_bw_4_r_1284.npz, elapsed time 6.62 sec
d_4_bw_4_r_1304.npz, elapsed time 6.58 sec
d_4_bw_4_r_1321.npz, elapsed time 7.79 sec
d_4_bw_4_r_1343.npz, elapsed time 9.84 sec
d_6_bw_4_r_372.npz, elapsed time 20.67 sec
d_6_bw_4_r_409.npz, elapsed time 20.71 sec
d_6_bw_4_r_445.npz, elapsed time 20.68 sec
d_6_bw_4_r_475.npz, elapsed time 20.69 sec
d_6_bw_4_r_506.npz, elapsed time 15.53 sec
d_6_bw_4_r_517.npz, elapsed time 13.13 sec
d_6_bw_4_r_544.npz, elapsed time 13.21 sec
d_6_bw_4_r_567.npz, elapsed time 13.62 sec
d_6_bw_4_r_577.npz, elapsed time 13.23 sec
d_6_bw_4_r_601.npz, elapsed time 13.30 sec
d_6_bw_4_r_622.npz, elapsed time 13.19 sec
d_6_bw_4_r_638.npz, elapsed time 16.54 sec
d_6_bw_4_r_664.npz, elapsed time 16.29 sec
d_6_bw_4_r_690.npz, elapsed time 13.38 sec
d_6_bw_4_r_706.npz, elapsed time 13.45 sec
d_6_bw_4_r_727.npz, elapsed time 13.61 sec
d_6_bw_4_r_751.npz, elapsed time 12.99 sec
d_6_bw_4_r_762.npz, elapsed time 13.00 sec
d_6_bw_4_r_785.npz, elapsed time 13.09 sec
d_6_bw_4_r_810.npz, elapsed time 13.03 sec
d_6_bw_4_r_821.npz, elapsed time 13.03 sec
d_6_bw_4_r_843.npz, elapsed time 12.99 sec
d_6_bw_4_r_868.npz, elapsed time 12.99 sec
d_6_bw_4_r_880.npz, elapsed time 12.96 sec
d_6_bw_4_r_902.npz, elapsed time 12.97 sec
d_6_bw_4_r_923.npz, elapsed time 13.05 sec
d_6_bw_4_r_939.npz, elapsed time 14.06 sec
d_6_bw_4_r_962.npz, elapsed time 13.29 sec
d_6_bw_4_r_983.npz, elapsed time 14.61 sec
d_6_bw_4_r_1002.npz, elapsed time 13.03 sec
d_6_bw_4_r_1023.npz, elapsed time 13.04 sec
d_6_bw_4_r_1042.npz, elapsed time 13.00 sec
d_6_bw_4_r_1060.npz, elapsed time 13.16 sec
d_6_bw_4_r_1081.npz, elapsed time 13.59 sec
d_6_bw_4_r_1100.npz, elapsed time 19.41 sec
d_6_bw_4_r_1128.npz, elapsed time 20.56 sec
d_6_bw_4_r_1160.npz, elapsed time 20.56 sec
d_6_bw_4_r_1190.npz, elapsed time 20.54 sec
d_6_bw_4_r_1221.npz, elapsed time 20.51 sec
d_6_bw_4_r_1251.npz, elapsed time 20.51 sec
d_6_bw_4_r_1281.npz, elapsed time 20.50 sec
d_6_bw_4_r_1311.npz, elapsed time 20.51 sec
d_6_bw_4_r_1341.npz, elapsed time 18.51 sec
d_8_bw_4_r_371.npz, elapsed time 28.54 sec
d_8_bw_4_r_394.npz, elapsed time 28.47 sec
d_8_bw_4_r_422.npz, elapsed time 29.32 sec
d_8_bw_4_r_450.npz, elapsed time 37.33 sec
d_8_bw_4_r_458.npz, elapsed time 29.11 sec
d_8_bw_4_r_484.npz, elapsed time 35.30 sec
d_8_bw_4_r_512.npz, elapsed time 41.41 sec
d_8_bw_4_r_542.npz, elapsed time 41.42 sec
d_8_bw_4_r_572.npz, elapsed time 41.39 sec
d_8_bw_4_r_602.npz, elapsed time 41.34 sec
d_8_bw_4_r_632.npz, elapsed time 41.30 sec
d_8_bw_4_r_661.npz, elapsed time 36.45 sec
d_8_bw_4_r_689.npz, elapsed time 29.65 sec
d_8_bw_4_r_711.npz, elapsed time 29.45 sec
d_8_bw_4_r_728.npz, elapsed time 29.02 sec
d_8_bw_4_r_748.npz, elapsed time 28.67 sec
d_8_bw_4_r_772.npz, elapsed time 31.20 sec
d_8_bw_4_r_791.npz, elapsed time 38.88 sec
d_8_bw_4_r_821.npz, elapsed time 28.99 sec
d_8_bw_4_r_840.npz, elapsed time 28.33 sec
d_8_bw_4_r_863.npz, elapsed time 28.31 sec
d_8_bw_4_r_881.npz, elapsed time 38.13 sec
d_8_bw_4_r_910.npz, elapsed time 38.60 sec
d_8_bw_4_r_938.npz, elapsed time 28.58 sec
d_8_bw_4_r_957.npz, elapsed time 38.53 sec
d_8_bw_4_r_987.npz, elapsed time 32.15 sec
d_8_bw_4_r_1011.npz, elapsed time 28.91 sec
d_8_bw_4_r_1032.npz, elapsed time 29.60 sec
d_8_bw_4_r_1049.npz, elapsed time 28.61 sec
d_8_bw_4_r_1071.npz, elapsed time 32.30 sec
d_8_bw_4_r_1095.npz, elapsed time 41.39 sec
d_8_bw_4_r_1127.npz, elapsed time 41.92 sec
d_8_bw_4_r_1156.npz, elapsed time 41.98 sec
d_8_bw_4_r_1186.npz, elapsed time 41.99 sec
d_8_bw_4_r_1216.npz, elapsed time 41.33 sec
d_8_bw_4_r_1245.npz, elapsed time 31.49 sec
d_8_bw_4_r_1266.npz, elapsed time 41.71 sec
d_8_bw_4_r_1296.npz, elapsed time 41.68 sec
d_8_bw_4_r_1324.npz, elapsed time 41.59 sec
d_8_bw_4_r_1355.npz, elapsed time 33.90 sec
d_10_bw_4_r_384.npz, elapsed time 94.12 sec
d_10_bw_4_r_413.npz, elapsed time 65.40 sec
d_10_bw_4_r_424.npz, elapsed time 79.79 sec
d_10_bw_4_r_452.npz, elapsed time 78.76 sec
d_10_bw_4_r_479.npz, elapsed time 67.30 sec
d_10_bw_4_r_506.npz, elapsed time 92.71 sec
d_10_bw_4_r_535.npz, elapsed time 93.54 sec
d_10_bw_4_r_563.npz, elapsed time 94.11 sec
d_10_bw_4_r_591.npz, elapsed time 94.17 sec
d_10_bw_4_r_619.npz, elapsed time 94.48 sec
d_10_bw_4_r_649.npz, elapsed time 94.45 sec
d_10_bw_4_r_678.npz, elapsed time 81.03 sec
d_10_bw_4_r_706.npz, elapsed time 92.91 sec
d_10_bw_4_r_736.npz, elapsed time 81.54 sec
d_10_bw_4_r_762.npz, elapsed time 68.85 sec
d_10_bw_4_r_781.npz, elapsed time 94.74 sec
d_10_bw_4_r_812.npz, elapsed time 94.74 sec
d_10_bw_4_r_846.npz, elapsed time 94.92 sec
d_10_bw_4_r_874.npz, elapsed time 94.81 sec
d_10_bw_4_r_906.npz, elapsed time 94.53 sec
d_10_bw_4_r_935.npz, elapsed time 94.58 sec
d_10_bw_4_r_963.npz, elapsed time 94.68 sec
d_10_bw_4_r_992.npz, elapsed time 91.44 sec
d_10_bw_4_r_1022.npz, elapsed time 65.30 sec
d_10_bw_4_r_1041.npz, elapsed time 65.01 sec
d_10_bw_4_r_1064.npz, elapsed time 72.01 sec
d_10_bw_4_r_1087.npz, elapsed time 93.47 sec
d_10_bw_4_r_1117.npz, elapsed time 93.69 sec
d_10_bw_4_r_1148.npz, elapsed time 94.24 sec
d_10_bw_4_r_1176.npz, elapsed time 87.42 sec
d_10_bw_4_r_1203.npz, elapsed time 65.73 sec
d_10_bw_4_r_1221.npz, elapsed time 76.40 sec
d_10_bw_4_r_1248.npz, elapsed time 94.87 sec
d_10_bw_4_r_1277.npz, elapsed time 94.68 sec
d_10_bw_4_r_1308.npz, elapsed time 94.68 sec
